SNPID	X6529	X6679	X6627	X6164	X6675	X6321	X6924	X4323	X5796	X6570	X5656	X5661	A0XF	X6677	X6386	X6606	X5868	X5659	X6717	X5861	X6534	X6530	X6625	X3489	A1D9	X6719	X5864	X6648	A1D4	X5538	X6599
hsa-let-7a-1	-0.84188711501175	-0.891826406276081	-1.13749611351024	-0.922799977919831	1.41966903763592	-1.23188823200796	-0.0144449209006025	-0.533425330718409	1.26263402510543	0.391630166323344	-0.860297201042733	-1.16332550107512	-0.547137691903503	-0.228106450232898	-0.152400561532701	1.53690731393434	2.11876967090944	-0.542918055525765	0.435615246181705	1.76748454902745	0.578976287113334	0.144990294806102	-1.31054963228638	2.18204120018158	-0.276272305574597	0.74635665095436	0.311616628273961	0.2272426307238	-1.1900157706434	0.494910346018651	0.82225187204774
hsa-let-7a-2	-0.84930640985519	-0.867309543886248	-1.23188823200796	-0.984436107547269	1.46251670736083	-1.12387087499259	0.000487859156141638	-0.500009399977291	1.3521187931968	0.441184227501436	-0.825477614284227	-1.09976201856573	-0.575738694848251	-0.234479418967033	-0.216573874368554	1.46251670736083	2.33255192613913	-0.565786648548684	0.365727942618923	1.68578731555113	0.553196900754451	0.17330663203352	-1.58780651140115	2.11876967090944	-0.265678189440235	0.82225187204774	0.338084661799802	0.159705756367196	-1.26162663642874	0.553196900754451	0.849746660308444
hsa-let-7a-3	-0.860297201042733	-0.84188711501175	-1.1900157706434	-0.992741889803335	1.38820322294347	-1.1900157706434	-0.0509293613267042	-0.513442028612603	1.31521662573459	0.423679934684008	-0.84930640985519	-1.12387087499259	-0.533425330718409	-0.244601274530023	-0.172034490008779	1.57734215865762	2.18204120018158	-0.533425330718409	0.377540685988015	1.72523701796933	0.615980909274526	0.18141452127424	-1.4342054760292	1.99748078480837	-0.258720824379097	0.760963101926029	0.295092070194053	0.19858640943119	-1.23188823200796	0.514407667452614	0.782695730385534
hsa-let-7b	0.257786164059871	-0.723440009373504	-0.992741889803335	0.159705756367196	0.384091430198674	-0.386591191446938	0.153515167580266	0.159705756367196	0.0141848651702226	-0.0611761509863978	-0.210657143997462	-0.739409472702506	-0.467617126201386	0.257786164059871	-0.698456834108429	1.18809289468092	0.615980909274526	-0.357972496338278	0.249784189601327	3.30882770687683	1.60926969658981	1.60926969658981	-1.23188823200796	0.17330663203352	-0.801999292496258	-1.02037119758734	-0.6070591827657	-0.36859374524638	-1.06002008874983	-0.754979832153823	1.26263402510543
hsa-let-7c	0.304722529088133	0.948697199575991	0.53211486895077	0.772686686123414	-0.708507038607991	-0.583622940785291	-0.37490933983318	0.344981959453153	-0.575738694848251	-0.801999292496258	-0.347403264078656	-0.922799977919831	-0.319656532771515	0.377540685988015	-0.680789297794366	-0.790732572233012	2.45977679426301	0.772686686123414	2.98154515428656	-0.0414807573167411	2.60664331638123	-0.84188711501175	-1.03229231221646	1.64411777081578	-0.210657143997462	0.655170280171133	-0.33847120129965	-1.09976201856573	-1.00806613533752	0.244254863526521	0.0831957982525082
hsa-let-7d	-0.0344304854074166	-0.767354853376098	-0.88404713813368	-0.651075420617427	0.655170280171133	-0.244601274530023	0.542528669554355	-0.790732572233012	0.0452579835829657	0.808668516405906	1.46251670736083	-0.311722703134589	-0.452396101374784	-0.876946040890668	-0.132708804953363	0.124259621676245	-0.565786648548684	-0.575738694848251	-0.642200858716196	-0.0236723955565707	-0.107731985314138	0.365727942618923	0.0760297888222888	-0.395163923591425	1.49751425861651	-0.112125241849872	0.423679934684008	-0.0236723955565707	-0.723440009373504	-0.659981331771995	0.357174646503323
hsa-let-7e	-0.632376011020004	0.481495103559778	1.07542321652312	-0.513442028612603	-0.593878945039641	-0.906025254425479	0.124259621676245	0.899786849202972	-0.479359023249223	0.153515167580266	-0.161423105198899	-0.529799142786571	-0.0754186277440986	-0.17795090980599	-0.303751704685087	-0.611262728668419	1.46251670736083	-0.448283966085919	1.82838783193976	0.365727942618923	2.45977679426301	-1.08257706817551	-0.953837316554021	1.60926969658981	0.287352100091345	1.31521662573459	-0.680789297794366	-0.611262728668419	-1.02037119758734	-0.49218413123905	-0.801999292496258
hsa-let-7f-1	-1.3649262234819	-1.1900157706434	-0.680789297794366	-0.399121892623116	0.18141452127424	-0.513442028612603	-0.739409472702506	-1.00806613533752	-0.915685029297139	1.29150836247148	-0.249939825075595	-1.4342054760292	-0.0611761509863978	0.966620038673959	-1.08257706817551	0.542528669554355	2.60664331638123	0.144990294806102	-0.17795090980599	1.82838783193976	-0.513442028612603	0.435615246181705	-0.433771505663103	1.18809289468092	1.0556500971336	1.3521187931968	1.82838783193976	-0.308358376731035	-0.17795090980599	0.32990922342325	-0.77301983596844
hsa-let-7f-2	-1.16332550107512	-0.589382118227421	0.311616628273961	-0.538634378994912	1.07542321652312	-0.507535732145494	-0.12321000649882	-0.820638165052603	0.249784189601327	-0.132708804953363	-1.1900157706434	-1.58780651140115	-0.483293156186649	0.0231563003696631	0.338084661799802	0.782695730385534	1.99748078480837	-0.254198316641573	0.0760297888222888	0.276380609971158	-1.09976201856573	-0.533425330718409	-0.483293156186649	1.82838783193976	-0.117543096451444	2.98154515428656	2.11876967090944	-0.0813072709338566	-0.496192965381333	0.93384454660123	-0.357972496338278
hsa-let-7g	-0.513442028612603	0.257786164059871	-0.891826406276081	-1.12387087499259	-0.132708804953363	-0.685834847397225	-0.718580322214216	-0.462752170692076	-0.210657143997462	0.338084661799802	-0.867309543886248	-0.483293156186649	0.441184227501436	-0.560765332189351	0.287352100091345	1.13448175161385	0.452797574283781	-0.984436107547269	-0.659981331771995	-0.636898959501648	-1.3649262234819	1.3521187931968	0.435615246181705	0.989372450541761	1.82838783193976	0.505479187514801	0.441184227501436	0.189154218723648	0.808668516405906	-1.16332550107512	1.29150836247148
