mirnaID	X6533	X6715	X3779	X6651	X6536	X6782	X6460	X6298	X6628	X6600	X6172	X5344	X4952	X5797	X5912	X6607	X3713	X5666	X6197	X6676	X4947	X6163	X6652
hsa-let-7a-1	-1.71155085303714	0.219982345006612	0.541664168166132	-0.57366449953562	-0.619655911887654	-0.0863666148002173	-0.0302972868787115	-1.49500518681255	1.56213113589706	1.3079907500237	0.584769260284982	-0.796806744015007	0.179900986396046	-0.609206177730708	0.687510721923134	-0.273839245821348	0.859453492953754	1.6590137270945	-0.759012466416534	-0.600536833732373	1.17793070329217	0.284332220992919	-1.1308171039723
hsa-let-7a-2	-1.49500518681255	0.294998534914732	0.510020236539886	-0.576941690752884	-0.624426162087634	-0.0494324413874741	-0.00114516819202425	-1.71155085303714	1.46611745832864	1.33838201838088	0.551948199316302	-0.859438229592719	0.189196687508077	-0.624426162087634	0.656066751874288	-0.28539561926347	0.873094668099709	1.59287077634176	-0.750225024432235	-0.619655911887654	1.1544727017876	0.312151899683345	-1.07920201899345
hsa-let-7a-3	-1.54964493777276	0.274635906988549	0.519326070742528	-0.564635571340456	-0.603661605335308	-0.0608082705946576	0.0266243655118589	-1.54964493777276	1.52377648742055	1.39703892916672	0.56241951753812	-0.877645652637462	0.172029706556615	-0.651184444816381	0.670656867093491	-0.297735655912903	0.840243134786359	1.56213113589706	-0.782315143522345	-0.614790841595972	1.22394828725913	0.302983266964743	-1.10509659300577
hsa-let-7b	-1.34990002590449	-0.132040481181931	0.469374873637108	0.384286317275817	-0.827354786008622	-0.355269326738637	-1.11321692239492	-1.31758274885694	0.210361497140824	0.840243134786359	0.646813653909691	-1.09219836202915	0.248416219942959	0.40959272061625	1.83686152690101	1.72913295720809	1.3692445128146	-0.600536833732373	-1.02507941016905	-0.132040481181931	0.976294633476361	0.777324763434522	-1.14611102750782
hsa-let-7c	-1.04498596917555	-0.936514636298021	1.69455514237616	2.19064482082492	1.22394828725913	1.22394828725913	-0.0494324413874741	-0.81483466046262	0.419268751089345	-0.440944048899752	0.0415188816117142	-0.576941690752884	-0.867006489148197	0.264149236742669	0.0192726412564819	0.00855483939523243	-0.872693866991175	-0.72403186052623	-1.22262582745238	1.00599273382816	-0.279735420661617	0.646813653909691	-0.628717841996111
hsa-let-7d	1.52377648742055	0.40959272061625	-1.26994517776909	-1.10509659300577	-0.263869485550786	-0.0302972868787115	0.976294633476361	1.63625992947437	-0.40115247642429	0.00855483939523243	0.136292558106183	-1.43155705096729	0.750543636736853	-1.03629364341601	0.859453492953754	-0.44558525251331	0.619139026072412	-1.54964493777276	0.392928742625992	-0.251252324888522	-0.701271125242321	-0.492711419996607	0.469374873637108
hsa-let-7e	-1.00095303206766	1.39703892916672	-0.850119439197749	1.46611745832864	1.00599273382816	0.632073629729788	0.469374873637108	-0.872693866991175	0.510020236539886	0.701101947095772	-0.843519255397773	-0.244803405984584	-1.14611102750782	-0.669459561032234	0.157394853136667	1.49306045642124	-1.01167878872717	-0.750225024432235	-1.18678111232735	-0.0276935994334986	0.750543636736853	-0.197860278399457	-0.11175500193311
hsa-let-7f-1	-0.971553496880842	-0.0863666148002173	0.321227784281508	-1.26994517776909	-0.337353225329693	-0.138779963437267	0.312151899683345	-0.535361622030091	1.83686152690101	1.06694038438844	0.00855483939523243	0.510020236539886	-0.132040481181931	-0.138779963437267	3.29715106116226	0.0957212002396725	-0.209609841315255	0.0957212002396725	-0.619655911887654	-0.884211828062172	0.248416219942959	0.0880343350705124	-1.00095303206766
hsa-let-7f-2	-0.765038329365889	1.19917781862144	0.0468401290503118	-0.782315143522345	-0.977577990337186	-0.297735655912903	0.890780429119171	-0.961320823466624	2.25529081385095	0.79070270000353	-0.0207733862808186	0.57223524273491	0.077923176789571	-0.730417434907488	0.701101947095772	-0.832344060624402	0.0468401290503118	0.384286317275817	0.00855483939523243	-0.843519255397773	0.294998534914732	-0.0403715559395314	-1.26994517776909
hsa-let-7g	-0.337353225329693	1.11388588615024	-0.235249391645529	-0.896532558428563	-0.81483466046262	0.777324763434522	0.56241951753812	-0.231034879531319	1.88853656178733	0.0266243655118589	0.077923176789571	-0.977577990337186	-0.372458934968005	-1.10509659300577	1.33838201838088	-0.765038329365889	-0.0403715559395314	-0.469906100020195	-0.105199769577057	-0.193664178622538	-0.531548035080758	-0.11175500193311	-0.124408048199487
hsa-let-7i	-0.550605850702148	-1.29508964108388	0.687510721923134	-0.872693866991175	-0.440944048899752	0.341903907552499	-1.20306704697593	0.419268751089345	0.840243134786359	0.750543636736853	-0.707615503721207	0.823085163846359	0.457077015970984	0.619139026072412	-0.44558525251331	2.41389167647271	-0.124408048199487	-1.04498596917555	-0.801548577245781	0.125489354505787	0.670656867093491	2.09859107206926	-0.929419817694688
hsa-mir-1-2	-0.646674841007181	-0.695131609681813	-0.646674841007181	2.90921768362082	1.56213113589706	-0.859438229592719	2.33606597595092	-0.251252324888522	-0.209609841315255	-0.098519952849068	-0.823698515056214	0.196288841976308	-0.550605850702148	0.330138573335265	-0.492711419996607	0.392928742625992	-0.656953661866775	-0.628717841996111	-0.701271125242321	0.264149236742669	0.0957212002396725	-0.81483466046262	-0.147002253674059
