Target,gene
HNRNPA1,GTF2F2
HNRNPK,GTF2F2
NCBP2,GTF2F2
SRSF7,GTF2F2
POLR2A,GTF2F2
POLR2H,GTF2F2
HNRNPM,GTF2F2
SF3A2,GTF2F2
SNRPB2,GTF2F2
DDX23,GTF2F2
SUPT5H,GTF2F2
TAF12,POLR2F
HNRNPR,POLR2F
POLR2B,POLR2F
MNAT1,POLR2F
POLR2C,POLR2F
SRSF5,POLR2F
SRSF4,POLR2F
HNRNPU,POLR2F
XAB2,POLR2F
HNRNPF,POLR2F
CDK7,POLR2F
SNRNP200,POLR2F
SF3A1,POLR2F
HNRNPA1,POLR2F
HNRNPK,POLR2F
NCBP2,POLR2F
SRSF7,POLR2F
POLR2A,POLR2F
POLR2H,POLR2F
HNRNPM,POLR2F
SF3A2,POLR2F
SNRPB2,POLR2F
DDX23,POLR2F
SUPT5H,POLR2F
GTF2F2,POLR2F
HNRNPR,HNRNPH1
POLR2B,HNRNPH1
POLR2C,HNRNPH1
SRSF5,HNRNPH1
SRSF4,HNRNPH1
HNRNPU,HNRNPH1
HNRNPF,HNRNPH1
SNRNP200,HNRNPH1
SF3A1,HNRNPH1
HNRNPA1,HNRNPH1
HNRNPK,HNRNPH1
NCBP2,HNRNPH1
SRSF7,HNRNPH1
POLR2A,HNRNPH1
POLR2H,HNRNPH1
HNRNPM,HNRNPH1
SF3A2,HNRNPH1
SNRPB2,HNRNPH1
DDX23,HNRNPH1
GTF2F2,HNRNPH1
POLR2F,HNRNPH1
TAF12,CCNH
POLR2B,CCNH
MNAT1,CCNH
POLR2C,CCNH
HNRNPU,CCNH
XAB2,CCNH
GTF2H2C,CCNH
CDK7,CCNH
NCBP2,CCNH
POLR2A,CCNH
POLR2H,CCNH
SUPT5H,CCNH
GTF2F2,CCNH
POLR2F,CCNH
HNRNPR,PRPF31
YJU2,PRPF31
PRPF40A,PRPF31
XAB2,PRPF31
CWC22,PRPF31
SNRNP200,PRPF31
SF3A1,PRPF31
NCBP2,PRPF31
SF3A2,PRPF31
PRPF40A,LSM6
XAB2,LSM6
CWC22,LSM6
SNRNP200,LSM6
SF3A1,LSM6
NCBP2,LSM6
SF3A2,LSM6
DDX23,LSM6
PRPF31,LSM6
POLR2B,SSRP1
MNAT1,SSRP1
POLR2C,SSRP1
CDK7,SSRP1
HNRNPA1,SSRP1
NCBP2,SSRP1
POLR2A,SSRP1
POLR2H,SSRP1
SUPT5H,SSRP1
GTF2F2,SSRP1
POLR2F,SSRP1
HNRNPH1,SSRP1
CCNH,SSRP1
HNRNPR,PRPF19
POLR2B,PRPF19
POLR2C,PRPF19
YJU2,PRPF19
PRPF40A,PRPF19
XAB2,PRPF19
CWC22,PRPF19
SNRNP200,PRPF19
SF3A1,PRPF19
NCBP2,PRPF19
POLR2A,PRPF19
POLR2H,PRPF19
HNRNPM,PRPF19
SF3A2,PRPF19
DDX23,PRPF19
POLR2F,PRPF19
PRPF31,PRPF19
LSM6,PRPF19
HNRNPR,SNRPD3
POLR2B,SNRPD3
POLR2C,SNRPD3
YJU2,SNRPD3
PRPF40A,SNRPD3
SRSF5,SNRPD3
SRSF4,SNRPD3
HNRNPU,SNRPD3
XAB2,SNRPD3
CWC22,SNRPD3
HNRNPF,SNRPD3
SNRNP200,SNRPD3
SF3A1,SNRPD3
HNRNPA1,SNRPD3
HNRNPK,SNRPD3
NCBP2,SNRPD3
SRSF7,SNRPD3
POLR2A,SNRPD3
POLR2H,SNRPD3
HNRNPM,SNRPD3
SF3A2,SNRPD3
SNRPB2,SNRPD3
DDX23,SNRPD3
GTF2F2,SNRPD3
POLR2F,SNRPD3
HNRNPH1,SNRPD3
PRPF31,SNRPD3
LSM6,SNRPD3
PRPF19,SNRPD3
HNRNPR,PRPF4
POLR2B,PRPF4
POLR2C,PRPF4
PRPF40A,PRPF4
SRSF5,PRPF4
SRSF4,PRPF4
HNRNPU,PRPF4
XAB2,PRPF4
CWC22,PRPF4
HNRNPF,PRPF4
SNRNP200,PRPF4
SF3A1,PRPF4
HNRNPA1,PRPF4
HNRNPK,PRPF4
NCBP2,PRPF4
SRSF7,PRPF4
POLR2A,PRPF4
POLR2H,PRPF4
HNRNPM,PRPF4
SF3A2,PRPF4
SNRPB2,PRPF4
DDX23,PRPF4
GTF2F2,PRPF4
POLR2F,PRPF4
HNRNPH1,PRPF4
PRPF31,PRPF4
LSM6,PRPF4
PRPF19,PRPF4
SNRPD3,PRPF4
TAF12,ING2
ENSG00000215719,ING2
POLR2A,ING2
TAF12,TAF7
POLR2B,TAF7
MNAT1,TAF7
POLR2C,TAF7
CDK7,TAF7
ENSG00000215719,TAF7
POLR2A,TAF7
POLR2H,TAF7
GTF2F2,TAF7
POLR2F,TAF7
CCNH,TAF7
PRPF31,TAF7
ING2,TAF7
HNRNPR,ELAVL1
HNRNPU,ELAVL1
SNRNP200,ELAVL1
HNRNPA1,ELAVL1
HNRNPK,ELAVL1
SF3A2,ELAVL1
DDX23,ELAVL1
HNRNPR,LUC7L
YJU2,LUC7L
PRPF40A,LUC7L
XAB2,LUC7L
CWC22,LUC7L
SNRNP200,LUC7L
SF3A1,LUC7L
NCBP2,LUC7L
SF3A2,LUC7L
PRPF31,LUC7L
LSM6,LUC7L
PRPF19,LUC7L
SNRPD3,LUC7L
PRPF4,LUC7L
TAF12,POLR2J
HNRNPR,POLR2J
POLR2B,POLR2J
MNAT1,POLR2J
POLR2C,POLR2J
SRSF5,POLR2J
SRSF4,POLR2J
HNRNPU,POLR2J
XAB2,POLR2J
GTF2H2C,POLR2J
HNRNPF,POLR2J
CDK7,POLR2J
SNRNP200,POLR2J
SF3A1,POLR2J
HNRNPA1,POLR2J
HNRNPK,POLR2J
NCBP2,POLR2J
SRSF7,POLR2J
POLR2A,POLR2J
POLR2H,POLR2J
HNRNPM,POLR2J
SF3A2,POLR2J
SNRPB2,POLR2J
DDX23,POLR2J
SUPT5H,POLR2J
GTF2F2,POLR2J
POLR2F,POLR2J
HNRNPH1,POLR2J
CCNH,POLR2J
SSRP1,POLR2J
PRPF19,POLR2J
SNRPD3,POLR2J
PRPF4,POLR2J
TAF7,POLR2J
TAF12,POLR2I
HNRNPR,POLR2I
POLR2B,POLR2I
MNAT1,POLR2I
POLR2C,POLR2I
SRSF5,POLR2I
SRSF4,POLR2I
HNRNPU,POLR2I
XAB2,POLR2I
GTF2H2C,POLR2I
HNRNPF,POLR2I
CDK7,POLR2I
SNRNP200,POLR2I
SF3A1,POLR2I
HNRNPA1,POLR2I
HNRNPK,POLR2I
NCBP2,POLR2I
SRSF7,POLR2I
POLR2A,POLR2I
POLR2H,POLR2I
HNRNPM,POLR2I
SF3A2,POLR2I
SNRPB2,POLR2I
DDX23,POLR2I
SUPT5H,POLR2I
GTF2F2,POLR2I
POLR2F,POLR2I
HNRNPH1,POLR2I
CCNH,POLR2I
SSRP1,POLR2I
PRPF19,POLR2I
SNRPD3,POLR2I
PRPF4,POLR2I
TAF7,POLR2I
POLR2J,POLR2I
HNRNPR,PCBP1
POLR2B,PCBP1
POLR2C,PCBP1
SRSF5,PCBP1
SRSF4,PCBP1
HNRNPU,PCBP1
HNRNPF,PCBP1
SNRNP200,PCBP1
SF3A1,PCBP1
HNRNPA1,PCBP1
HNRNPK,PCBP1
NCBP2,PCBP1
SRSF7,PCBP1
POLR2A,PCBP1
POLR2H,PCBP1
HNRNPM,PCBP1
SF3A2,PCBP1
SNRPB2,PCBP1
DDX23,PCBP1
GTF2F2,PCBP1
POLR2F,PCBP1
HNRNPH1,PCBP1
SNRPD3,PCBP1
PRPF4,PCBP1
POLR2J,PCBP1
POLR2I,PCBP1
HNRNPR,SNU13
POLR2B,SNU13
POLR2C,SNU13
SRSF5,SNU13
SRSF4,SNU13
HNRNPU,SNU13
HNRNPF,SNU13
SNRNP200,SNU13
SF3A1,SNU13
HNRNPA1,SNU13
HNRNPK,SNU13
NCBP2,SNU13
SRSF7,SNU13
POLR2A,SNU13
POLR2H,SNU13
HNRNPM,SNU13
SF3A2,SNU13
SNRPB2,SNU13
DDX23,SNU13
GTF2F2,SNU13
POLR2F,SNU13
HNRNPH1,SNU13
PRPF19,SNU13
SNRPD3,SNU13
PRPF4,SNU13
POLR2J,SNU13
POLR2I,SNU13
PCBP1,SNU13
POLR2B,SUPT16H
MNAT1,SUPT16H
POLR2C,SUPT16H
XAB2,SUPT16H
GTF2H2C,SUPT16H
CDK7,SUPT16H
NCBP2,SUPT16H
POLR2A,SUPT16H
POLR2H,SUPT16H
SUPT5H,SUPT16H
GTF2F2,SUPT16H
POLR2F,SUPT16H
CCNH,SUPT16H
SSRP1,SUPT16H
POLR2J,SUPT16H
POLR2I,SUPT16H
HNRNPR,SRSF11
POLR2B,SRSF11
POLR2C,SRSF11
SRSF5,SRSF11
SRSF4,SRSF11
HNRNPU,SRSF11
HNRNPF,SRSF11
SNRNP200,SRSF11
SF3A1,SRSF11
HNRNPA1,SRSF11
HNRNPK,SRSF11
NCBP2,SRSF11
SRSF7,SRSF11
POLR2A,SRSF11
POLR2H,SRSF11
HNRNPM,SRSF11
SF3A2,SRSF11
SNRPB2,SRSF11
DDX23,SRSF11
GTF2F2,SRSF11
