Target,gene
YJU2,SNRNP70
PRPF40A,SNRNP70
SRSF5,SNRNP70
SRSF4,SNRNP70
HNRNPU,SNRNP70
XAB2,SNRNP70
CWC22,SNRNP70
HNRNPF,SNRNP70
SNRNP200,SNRNP70
SF3A1,SNRNP70
HNRNPA1,SNRNP70
HNRNPK,SNRNP70
NCBP2,SNRNP70
SRSF7,SNRNP70
POLR2A,SNRNP70
POLR2H,SNRNP70
HNRNPM,SNRNP70
SF3A2,SNRNP70
SNRPB2,SNRNP70
DDX23,SNRNP70
GTF2F2,SNRNP70
POLR2F,SNRNP70
HNRNPH1,SNRNP70
PRPF31,SNRNP70
LSM6,SNRNP70
PRPF19,SNRNP70
SNRPD3,SNRNP70
PRPF4,SNRNP70
LUC7L,SNRNP70
POLR2J,SNRNP70
POLR2I,SNRNP70
PCBP1,SNRNP70
SNU13,SNRNP70
SRSF11,SNRNP70
SF3A3,SNRNP70
SNRPF,SNRNP70
POLR2G,SNRNP70
HNRNPH2,SNRNP70
LSM5,SNRNP70
HNRNPA0,SNRNP70
SNRPD2,SNRNP70
SRRM1,SNRNP70
CPSF3,SNRNP70
PRPF6,SNRNP70
SF3A1,HTATSF1
SF3A2,HTATSF1
SNRPB2,HTATSF1
DDX23,HTATSF1
SUPT5H,HTATSF1
GTF2F2,HTATSF1
HNRNPH1,HTATSF1
PRPF19,HTATSF1
SNRPD3,HTATSF1
PRPF4,HTATSF1
POLR2I,HTATSF1
SF3A3,HTATSF1
SNRPF,HTATSF1
SNRPD2,HTATSF1
SNRNP70,HTATSF1
TAF12,AK6
HNRNPR,AK6
POLR2B,AK6
MNAT1,AK6
POLR2C,AK6
GTF2H2C,AK6
CDK7,AK6
NCBP2,AK6
ENSG00000215719,AK6
POLR2A,AK6
POLR2H,AK6
GTF2F2,AK6
POLR2F,AK6
CCNH,AK6
ING2,AK6
TAF7,AK6
POLR2J,AK6
POLR2I,AK6
TAF9B,AK6
TAF4,AK6
POLR2G,AK6
GTF2H2,AK6
GTF2H3,AK6
TAF6,AK6
CPSF3,AK6
HNRNPR,PLRG1
YJU2,PLRG1
PRPF40A,PLRG1
XAB2,PLRG1
CWC22,PLRG1
SNRNP200,PLRG1
SF3A1,PLRG1
NCBP2,PLRG1
SF3A2,PLRG1
DDX23,PLRG1
PRPF31,PLRG1
LSM6,PLRG1
PRPF19,PLRG1
SNRPD3,PLRG1
PRPF4,PLRG1
LUC7L,PLRG1
SF3A3,PLRG1
SNRPF,PLRG1
LSM5,PLRG1
SNRPD2,PLRG1
PRPF6,PLRG1
SNRNP70,PLRG1
HNRNPA1,SAFB
HNRNPK,SAFB
POLR2A,SAFB
TAF12,ALYREF
HNRNPR,ALYREF
POLR2B,ALYREF
POLR2C,ALYREF
SRSF5,ALYREF
SRSF4,ALYREF
HNRNPU,ALYREF
HNRNPF,ALYREF
SNRNP200,ALYREF
SF3A1,ALYREF
HNRNPA1,ALYREF
HNRNPK,ALYREF
NCBP2,ALYREF
SRSF7,ALYREF
POLR2A,ALYREF
POLR2H,ALYREF
HNRNPM,ALYREF
SF3A2,ALYREF
SNRPB2,ALYREF
DDX23,ALYREF
SUPT5H,ALYREF
GTF2F2,ALYREF
POLR2F,ALYREF
HNRNPH1,ALYREF
SSRP1,ALYREF
SNRPD3,ALYREF
PRPF4,ALYREF
POLR2J,ALYREF
POLR2I,ALYREF
PCBP1,ALYREF
SNU13,ALYREF
SUPT16H,ALYREF
SRSF11,ALYREF
SF3A3,ALYREF
SNRPF,ALYREF
POLR2G,ALYREF
HNRNPH2,ALYREF
HNRNPA0,ALYREF
TAF6,ALYREF
SNRPD2,ALYREF
SRRM1,ALYREF
CPSF3,ALYREF
PRPF6,ALYREF
SNRNP70,ALYREF
AK6,ALYREF
TAF12,GTF2B
POLR2B,GTF2B
MNAT1,GTF2B
POLR2C,GTF2B
HNRNPU,GTF2B
GTF2H2C,GTF2B
CDK7,GTF2B
HNRNPA1,GTF2B
POLR2A,GTF2B
POLR2H,GTF2B
SNRPB2,GTF2B
SUPT5H,GTF2B
GTF2F2,GTF2B
POLR2F,GTF2B
HNRNPH1,GTF2B
CCNH,GTF2B
TAF7,GTF2B
POLR2J,GTF2B
POLR2I,GTF2B
SUPT16H,GTF2B
TAF9B,GTF2B
TAF4,GTF2B
POLR2G,GTF2B
GTF2H2,GTF2B
GTF2H3,GTF2B
TAF6,GTF2B
HTATSF1,GTF2B
AK6,GTF2B
TAF12,ERCC3
POLR2B,ERCC3
MNAT1,ERCC3
POLR2C,ERCC3
XAB2,ERCC3
GTF2H2C,ERCC3
HNRNPF,ERCC3
CDK7,ERCC3
SNRNP200,ERCC3
HNRNPK,ERCC3
NCBP2,ERCC3
POLR2A,ERCC3
POLR2H,ERCC3
SUPT5H,ERCC3
GTF2F2,ERCC3
POLR2F,ERCC3
CCNH,ERCC3
SSRP1,ERCC3
TAF7,ERCC3
POLR2J,ERCC3
POLR2I,ERCC3
PCBP1,ERCC3
SUPT16H,ERCC3
TAF4,ERCC3
POLR2G,ERCC3
GTF2H2,ERCC3
HNRNPA0,ERCC3
GTF2H3,ERCC3
TAF6,ERCC3
RNGTT,ERCC3
PRPF6,ERCC3
HTATSF1,ERCC3
AK6,ERCC3
GTF2B,ERCC3
HNRNPR,TIA1
YJU2,TIA1
PRPF40A,TIA1
HNRNPU,TIA1
XAB2,TIA1
CWC22,TIA1
SNRNP200,TIA1
SF3A1,TIA1
NCBP2,TIA1
SF3A2,TIA1
PRPF31,TIA1
LSM6,TIA1
PRPF19,TIA1
SNRPD3,TIA1
PRPF4,TIA1
ELAVL1,TIA1
LUC7L,TIA1
SF3A3,TIA1
SNRPF,TIA1
LSM5,TIA1
TAF6,TIA1
SNRPD2,TIA1
PRPF6,TIA1
SNRNP70,TIA1
PLRG1,TIA1
HNRNPR,HNRNPL
POLR2B,HNRNPL
POLR2C,HNRNPL
SRSF5,HNRNPL
SRSF4,HNRNPL
HNRNPU,HNRNPL
HNRNPF,HNRNPL
SNRNP200,HNRNPL
SF3A1,HNRNPL
HNRNPA1,HNRNPL
HNRNPK,HNRNPL
NCBP2,HNRNPL
SRSF7,HNRNPL
POLR2A,HNRNPL
POLR2H,HNRNPL
HNRNPM,HNRNPL
SF3A2,HNRNPL
SNRPB2,HNRNPL
DDX23,HNRNPL
GTF2F2,HNRNPL
POLR2F,HNRNPL
HNRNPH1,HNRNPL
SNRPD3,HNRNPL
PRPF4,HNRNPL
ELAVL1,HNRNPL
POLR2J,HNRNPL
POLR2I,HNRNPL
PCBP1,HNRNPL
SNU13,HNRNPL
SRSF11,HNRNPL
SF3A3,HNRNPL
SNRPF,HNRNPL
POLR2G,HNRNPL
HNRNPH2,HNRNPL
HNRNPA0,HNRNPL
SNRPD2,HNRNPL
SRRM1,HNRNPL
CPSF3,HNRNPL
PRPF6,HNRNPL
SNRNP70,HNRNPL
ALYREF,HNRNPL
TAF12,CPSF1
HNRNPR,CPSF1
POLR2B,CPSF1
POLR2C,CPSF1
SRSF5,CPSF1
SRSF4,CPSF1
HNRNPU,CPSF1
HNRNPF,CPSF1
SNRNP200,CPSF1
SF3A1,CPSF1
HNRNPA1,CPSF1
HNRNPK,CPSF1
NCBP2,CPSF1
ENSG00000215719,CPSF1
SRSF7,CPSF1
POLR2A,CPSF1
POLR2H,CPSF1
HNRNPM,CPSF1
SF3A2,CPSF1
SNRPB2,CPSF1
DDX23,CPSF1
GTF2F2,CPSF1
POLR2F,CPSF1
HNRNPH1,CPSF1
SNRPD3,CPSF1
PRPF4,CPSF1
TAF7,CPSF1
POLR2J,CPSF1
POLR2I,CPSF1
PCBP1,CPSF1
SNU13,CPSF1
SRSF11,CPSF1
SF3A3,CPSF1
SNRPF,CPSF1
POLR2G,CPSF1
HNRNPH2,CPSF1
HNRNPA0,CPSF1
TAF6,CPSF1
SNRPD2,CPSF1
SRRM1,CPSF1
CPSF3,CPSF1
PRPF6,CPSF1
SNRNP70,CPSF1
ALYREF,CPSF1
HNRNPL,CPSF1
HNRNPR,ENSG00000111987
POLR2B,ENSG00000111987
POLR2C,ENSG00000111987
PRPF40A,ENSG00000111987
SRSF5,ENSG00000111987
SRSF4,ENSG00000111987
HNRNPU,ENSG00000111987
XAB2,ENSG00000111987
CWC22,ENSG00000111987
HNRNPF,ENSG00000111987
SNRNP200,ENSG00000111987
SF3A1,ENSG00000111987
HNRNPA1,ENSG00000111987
HNRNPK,ENSG00000111987
NCBP2,ENSG00000111987
SRSF7,ENSG00000111987
POLR2A,ENSG00000111987
POLR2H,ENSG00000111987
HNRNPM,ENSG00000111987
SF3A2,ENSG00000111987
SNRPB2,ENSG00000111987
DDX23,ENSG00000111987
GTF2F2,ENSG00000111987
POLR2F,ENSG00000111987
HNRNPH1,ENSG00000111987
PRPF31,ENSG00000111987
LSM6,ENSG00000111987
PRPF19,ENSG00000111987
SNRPD3,ENSG00000111987
PRPF4,ENSG00000111987
LUC7L,ENSG00000111987
POLR2J,ENSG00000111987
POLR2I,ENSG00000111987
PCBP1,ENSG00000111987
SNU13,ENSG00000111987
SRSF11,ENSG00000111987
SF3A3,ENSG00000111987
SNRPF,ENSG00000111987
POLR2G,ENSG00000111987
HNRNPH2,ENSG00000111987
LSM5,ENSG00000111987
HNRNPA0,ENSG00000111987
SNRPD2,ENSG00000111987
SRRM1,ENSG00000111987
CPSF3,ENSG00000111987
PRPF6,ENSG00000111987
SNRNP70,ENSG00000111987
PLRG1,ENSG00000111987
ALYREF,ENSG00000111987
TIA1,ENSG00000111987
HNRNPL,ENSG00000111987
CPSF1,ENSG00000111987
HNRNPR,SNRPA1
POLR2B,SNRPA1
POLR2C,SNRPA1
YJU2,SNRPA1
PRPF40A,SNRPA1
SRSF5,SNRPA1
SRSF4,SNRPA1
HNRNPU,SNRPA1
XAB2,SNRPA1
CWC22,SNRPA1
HNRNPF,SNRPA1
SNRNP200,SNRPA1
SF3A1,SNRPA1
HNRNPA1,SNRPA1
HNRNPK,SNRPA1
NCBP2,SNRPA1
SRSF7,SNRPA1
POLR2A,SNRPA1
POLR2H,SNRPA1
HNRNPM,SNRPA1
SF3A2,SNRPA1
SNRPB2,SNRPA1
DDX23,SNRPA1
GTF2F2,SNRPA1
POLR2F,SNRPA1
HNRNPH1,SNRPA1
PRPF31,SNRPA1
LSM6,SNRPA1
PRPF19,SNRPA1
SNRPD3,SNRPA1
PRPF4,SNRPA1
ELAVL1,SNRPA1
LUC7L,SNRPA1
POLR2J,SNRPA1
POLR2I,SNRPA1
PCBP1,SNRPA1
SNU13,SNRPA1
SRSF11,SNRPA1
SF3A3,SNRPA1
SNRPF,SNRPA1
POLR2G,SNRPA1
HNRNPH2,SNRPA1
LSM5,SNRPA1
HNRNPA0,SNRPA1
SNRPD2,SNRPA1
SRRM1,SNRPA1
CPSF3,SNRPA1
PRPF6,SNRPA1
SNRNP70,SNRPA1
HTATSF1,SNRPA1
PLRG1,SNRPA1
ALYREF,SNRPA1
TIA1,SNRPA1
HNRNPL,SNRPA1
CPSF1,SNRPA1
ENSG00000111987,SNRPA1
TAF12,GTF2H1
POLR2B,GTF2H1
MNAT1,GTF2H1
POLR2C,GTF2H1
HNRNPU,GTF2H1
XAB2,GTF2H1
GTF2H2C,GTF2H1
CDK7,GTF2H1
NCBP2,GTF2H1
POLR2A,GTF2H1
POLR2H,GTF2H1
SUPT5H,GTF2H1
GTF2F2,GTF2H1
POLR2F,GTF2H1
CCNH,GTF2H1
SSRP1,GTF2H1
TAF7,GTF2H1
POLR2J,GTF2H1
POLR2I,GTF2H1
SUPT16H,GTF2H1
TAF4,GTF2H1
POLR2G,GTF2H1
GTF2H2,GTF2H1
GTF2H3,GTF2H1
TAF6,GTF2H1
SNRPD2,GTF2H1
RNGTT,GTF2H1
AK6,GTF2H1
GTF2B,GTF2H1
ERCC3,GTF2H1
HNRNPR,HNRNPC
POLR2B,HNRNPC
POLR2C,HNRNPC
SRSF5,HNRNPC
SRSF4,HNRNPC
HNRNPU,HNRNPC
HNRNPF,HNRNPC
SNRNP200,HNRNPC
SF3A1,HNRNPC
HNRNPA1,HNRNPC
HNRNPK,HNRNPC
NCBP2,HNRNPC
SRSF7,HNRNPC
POLR2A,HNRNPC
POLR2H,HNRNPC
HNRNPM,HNRNPC
SF3A2,HNRNPC
SNRPB2,HNRNPC
DDX23,HNRNPC
GTF2F2,HNRNPC
POLR2F,HNRNPC
HNRNPH1,HNRNPC
SSRP1,HNRNPC
SNRPD3,HNRNPC
PRPF4,HNRNPC
ELAVL1,HNRNPC
POLR2J,HNRNPC
POLR2I,HNRNPC
PCBP1,HNRNPC
SNU13,HNRNPC
SRSF11,HNRNPC
SF3A3,HNRNPC
SNRPF,HNRNPC
POLR2G,HNRNPC
HNRNPH2,HNRNPC
HNRNPA0,HNRNPC
SNRPD2,HNRNPC
SRRM1,HNRNPC
CPSF3,HNRNPC
PRPF6,HNRNPC
SNRNP70,HNRNPC
ALYREF,HNRNPC
HNRNPL,HNRNPC
CPSF1,HNRNPC
ENSG00000111987,HNRNPC
SNRPA1,HNRNPC
HNRNPR,INCENP
PRPF40A,INCENP
XAB2,INCENP
CWC22,INCENP
SNRNP200,INCENP
SF3A1,INCENP
NCBP2,INCENP
SF3A2,INCENP
DDX23,INCENP
PRPF31,INCENP
LSM6,INCENP
PRPF19,INCENP
SNRPD3,INCENP
PRPF4,INCENP
LUC7L,INCENP
SF3A3,INCENP
SNRPF,INCENP
LSM5,INCENP
SNRPD2,INCENP
PRPF6,INCENP
SNRNP70,INCENP
PLRG1,INCENP
TIA1,INCENP
ENSG00000111987,INCENP
SNRPA1,INCENP
HNRNPR,PAPOLA
POLR2B,PAPOLA
POLR2C,PAPOLA
SRSF5,PAPOLA
SRSF4,PAPOLA
HNRNPU,PAPOLA
HNRNPF,PAPOLA
SNRNP200,PAPOLA
SF3A1,PAPOLA
HNRNPA1,PAPOLA
HNRNPK,PAPOLA
NCBP2,PAPOLA
SRSF7,PAPOLA
POLR2A,PAPOLA
POLR2H,PAPOLA
HNRNPM,PAPOLA
SF3A2,PAPOLA
SNRPB2,PAPOLA
DDX23,PAPOLA
SUPT5H,PAPOLA
GTF2F2,PAPOLA
POLR2F,PAPOLA
HNRNPH1,PAPOLA
SNRPD3,PAPOLA
PRPF4,PAPOLA
POLR2J,PAPOLA
POLR2I,PAPOLA
PCBP1,PAPOLA
SNU13,PAPOLA
SRSF11,PAPOLA
SF3A3,PAPOLA
SNRPF,PAPOLA
POLR2G,PAPOLA
HNRNPH2,PAPOLA
HNRNPA0,PAPOLA
TAF6,PAPOLA
SNRPD2,PAPOLA
SRRM1,PAPOLA
CPSF3,PAPOLA
PRPF6,PAPOLA
SNRNP70,PAPOLA
ALYREF,PAPOLA
TIA1,PAPOLA
HNRNPL,PAPOLA
CPSF1,PAPOLA
ENSG00000111987,PAPOLA
SNRPA1,PAPOLA
HNRNPC,PAPOLA
HNRNPR,PRPF3
YJU2,PRPF3
PRPF40A,PRPF3
XAB2,PRPF3
CWC22,PRPF3
SNRNP200,PRPF3
SF3A1,PRPF3
NCBP2,PRPF3
SF3A2,PRPF3
DDX23,PRPF3
PRPF31,PRPF3
LSM6,PRPF3
PRPF19,PRPF3
SNRPD3,PRPF3
PRPF4,PRPF3
LUC7L,PRPF3
SF3A3,PRPF3
SNRPF,PRPF3
LSM5,PRPF3
SNRPD2,PRPF3
PRPF6,PRPF3
SNRNP70,PRPF3
HTATSF1,PRPF3
PLRG1,PRPF3
TIA1,PRPF3
ENSG00000111987,PRPF3
SNRPA1,PRPF3
INCENP,PRPF3
HNRNPR,SF3B1
POLR2B,SF3B1
POLR2C,SF3B1
YJU2,SF3B1
PRPF40A,SF3B1
SRSF5,SF3B1
SRSF4,SF3B1
HNRNPU,SF3B1
XAB2,SF3B1
CWC22,SF3B1
HNRNPF,SF3B1
SNRNP200,SF3B1
SF3A1,SF3B1
HNRNPA1,SF3B1
HNRNPK,SF3B1
NCBP2,SF3B1
SRSF7,SF3B1
POLR2A,SF3B1
POLR2H,SF3B1
HNRNPM,SF3B1
SF3A2,SF3B1
SNRPB2,SF3B1
DDX23,SF3B1
GTF2F2,SF3B1
POLR2F,SF3B1
HNRNPH1,SF3B1
PRPF31,SF3B1
LSM6,SF3B1
PRPF19,SF3B1
SNRPD3,SF3B1
PRPF4,SF3B1
ELAVL1,SF3B1
LUC7L,SF3B1
POLR2J,SF3B1
POLR2I,SF3B1
PCBP1,SF3B1
SNU13,SF3B1
SRSF11,SF3B1
SF3A3,SF3B1
SNRPF,SF3B1
POLR2G,SF3B1
HNRNPH2,SF3B1
LSM5,SF3B1
HNRNPA0,SF3B1
SNRPD2,SF3B1
SRRM1,SF3B1
CPSF3,SF3B1
PRPF6,SF3B1
SNRNP70,SF3B1
HTATSF1,SF3B1
PLRG1,SF3B1
ALYREF,SF3B1
TIA1,SF3B1
HNRNPL,SF3B1
CPSF1,SF3B1
ENSG00000111987,SF3B1
SNRPA1,SF3B1
HNRNPC,SF3B1
INCENP,SF3B1
PAPOLA,SF3B1
PRPF3,SF3B1
SNRNP200,LSM3
SF3A1,LSM3
SF3A2,LSM3
PRPF31,LSM3
LSM6,LSM3
PRPF19,LSM3
SNRPD3,LSM3
PRPF4,LSM3
SF3A3,LSM3
SNRPF,LSM3
LSM5,LSM3
SNRPD2,LSM3
PRPF6,LSM3
PLRG1,LSM3
ENSG00000111987,LSM3
SNRPA1,LSM3
PRPF3,LSM3
SF3B1,LSM3
TAF12,TAF5
POLR2B,TAF5
MNAT1,TAF5
POLR2C,TAF5
GTF2H2C,TAF5
CDK7,TAF5
SF3A1,TAF5
NCBP2,TAF5
ENSG00000215719,TAF5
POLR2A,TAF5
POLR2H,TAF5
GTF2F2,TAF5
POLR2F,TAF5
CCNH,TAF5
ING2,TAF5
TAF7,TAF5
POLR2J,TAF5
POLR2I,TAF5
TAF9B,TAF5
TAF4,TAF5
POLR2G,TAF5
GTF2H2,TAF5
GTF2H3,TAF5
TAF6,TAF5
CPSF3,TAF5
AK6,TAF5
ALYREF,TAF5
GTF2B,TAF5
ERCC3,TAF5
CPSF1,TAF5
GTF2H1,TAF5
PRPF40A,PRPF18
CWC22,PRPF18
SNRNP200,PRPF18
SF3A1,PRPF18
SF3A2,PRPF18
DDX23,PRPF18
LSM6,PRPF18
PRPF19,PRPF18
SNRPD3,PRPF18
PRPF4,PRPF18
SF3A3,PRPF18
SNRPF,PRPF18
LSM5,PRPF18
SNRPD2,PRPF18
PRPF6,PRPF18
SNRNP70,PRPF18
PLRG1,PRPF18
ENSG00000111987,PRPF18
INCENP,PRPF18
PRPF3,PRPF18
SF3B1,PRPF18
HNRNPR,NFX1
POLR2B,NFX1
MNAT1,NFX1
POLR2C,NFX1
SRSF5,NFX1
SRSF4,NFX1
HNRNPU,NFX1
GTF2H2C,NFX1
HNRNPF,NFX1
CDK7,NFX1
SNRNP200,NFX1
SF3A1,NFX1
HNRNPA1,NFX1
HNRNPK,NFX1
NCBP2,NFX1
SRSF7,NFX1
POLR2A,NFX1
POLR2H,NFX1
HNRNPM,NFX1
SF3A2,NFX1
SNRPB2,NFX1
DDX23,NFX1
GTF2F2,NFX1
POLR2F,NFX1
HNRNPH1,NFX1
CCNH,NFX1
SNRPD3,NFX1
PRPF4,NFX1
POLR2J,NFX1
POLR2I,NFX1
PCBP1,NFX1
SNU13,NFX1
SRSF11,NFX1
SF3A3,NFX1
SNRPF,NFX1
POLR2G,NFX1
HNRNPH2,NFX1
GTF2H2,NFX1
HNRNPA0,NFX1
GTF2H3,NFX1
SNRPD2,NFX1
SRRM1,NFX1
CPSF3,NFX1
PRPF6,NFX1
SNRNP70,NFX1
ALYREF,NFX1
HNRNPL,NFX1
CPSF1,NFX1
ENSG00000111987,NFX1
SNRPA1,NFX1
GTF2H1,NFX1
HNRNPC,NFX1
PAPOLA,NFX1
SF3B1,NFX1
TAF12,POLR2J3
POLR2B,POLR2J3
MNAT1,POLR2J3
POLR2C,POLR2J3
GTF2H2C,POLR2J3
CDK7,POLR2J3
POLR2A,POLR2J3
POLR2H,POLR2J3
SUPT5H,POLR2J3
GTF2F2,POLR2J3
POLR2F,POLR2J3
CCNH,POLR2J3
POLR2I,POLR2J3
POLR2G,POLR2J3
GTF2H2,POLR2J3
GTF2H3,POLR2J3
TAF6,POLR2J3
AK6,POLR2J3
GTF2B,POLR2J3
ERCC3,POLR2J3
GTF2H1,POLR2J3
TAF5,POLR2J3
HNRNPR,EFTUD2
POLR2B,EFTUD2
POLR2C,EFTUD2
SRSF5,EFTUD2
SRSF4,EFTUD2
HNRNPU,EFTUD2
HNRNPF,EFTUD2
SNRNP200,EFTUD2
SF3A1,EFTUD2
HNRNPA1,EFTUD2
HNRNPK,EFTUD2
NCBP2,EFTUD2
SRSF7,EFTUD2
POLR2A,EFTUD2
POLR2H,EFTUD2
HNRNPM,EFTUD2
SF3A2,EFTUD2
SNRPB2,EFTUD2
DDX23,EFTUD2
GTF2F2,EFTUD2
POLR2F,EFTUD2
HNRNPH1,EFTUD2
SNRPD3,EFTUD2
PRPF4,EFTUD2
ELAVL1,EFTUD2
POLR2J,EFTUD2
POLR2I,EFTUD2
PCBP1,EFTUD2
SNU13,EFTUD2
SRSF11,EFTUD2
SF3A3,EFTUD2
SNRPF,EFTUD2
POLR2G,EFTUD2
HNRNPH2,EFTUD2
HNRNPA0,EFTUD2
SNRPD2,EFTUD2
RNGTT,EFTUD2
SRRM1,EFTUD2
CPSF3,EFTUD2
PRPF6,EFTUD2
SNRNP70,EFTUD2
ALYREF,EFTUD2
ERCC3,EFTUD2
HNRNPL,EFTUD2
CPSF1,EFTUD2
ENSG00000111987,EFTUD2
SNRPA1,EFTUD2
HNRNPC,EFTUD2
PAPOLA,EFTUD2
PRPF3,EFTUD2
SF3B1,EFTUD2
NFX1,EFTUD2
PRPF40A,LSM7
XAB2,LSM7
CWC22,LSM7
SNRNP200,LSM7
SF3A1,LSM7
NCBP2,LSM7
SF3A2,LSM7
DDX23,LSM7
PRPF31,LSM7
LSM6,LSM7
PRPF19,LSM7
SNRPD3,LSM7
PRPF4,LSM7
LUC7L,LSM7
SF3A3,LSM7
SNRPF,LSM7
LSM5,LSM7
SNRPD2,LSM7
PRPF6,LSM7
SNRNP70,LSM7
PLRG1,LSM7
TIA1,LSM7
ENSG00000111987,LSM7
SNRPA1,LSM7
INCENP,LSM7
PRPF3,LSM7
SF3B1,LSM7
LSM3,LSM7
PRPF18,LSM7
PRPF40A,DDX46
HNRNPF,DDX46
SNRNP200,DDX46
SF3A1,DDX46
SF3A2,DDX46
DDX23,DDX46
HNRNPH1,DDX46
SNRPD3,DDX46
PRPF4,DDX46
SF3A3,DDX46
PRPF6,DDX46
SNRNP70,DDX46
HTATSF1,DDX46
SNRPA1,DDX46
INCENP,DDX46
SF3B1,DDX46
PRPF18,DDX46
HNRNPR,CDC40
POLR2B,CDC40
POLR2C,CDC40
YJU2,CDC40
PRPF40A,CDC40
SRSF5,CDC40
SRSF4,CDC40
HNRNPU,CDC40
XAB2,CDC40
CWC22,CDC40
HNRNPF,CDC40
SNRNP200,CDC40
SF3A1,CDC40
HNRNPA1,CDC40
HNRNPK,CDC40
NCBP2,CDC40
SRSF7,CDC40
POLR2A,CDC40
POLR2H,CDC40
HNRNPM,CDC40
SF3A2,CDC40
SNRPB2,CDC40
DDX23,CDC40
SUPT5H,CDC40
GTF2F2,CDC40
POLR2F,CDC40
HNRNPH1,CDC40
PRPF31,CDC40
LSM6,CDC40
PRPF19,CDC40
SNRPD3,CDC40
PRPF4,CDC40
LUC7L,CDC40
POLR2J,CDC40
POLR2I,CDC40
PCBP1,CDC40
SNU13,CDC40
SRSF11,CDC40
SF3A3,CDC40
SNRPF,CDC40
POLR2G,CDC40
HNRNPH2,CDC40
LSM5,CDC40
HNRNPA0,CDC40
SNRPD2,CDC40
SRRM1,CDC40
CPSF3,CDC40
PRPF6,CDC40
SNRNP70,CDC40
PLRG1,CDC40
ALYREF,CDC40
TIA1,CDC40
HNRNPL,CDC40
CPSF1,CDC40
ENSG00000111987,CDC40
SNRPA1,CDC40
HNRNPC,CDC40
INCENP,CDC40
PAPOLA,CDC40
PRPF3,CDC40
SF3B1,CDC40
PRPF18,CDC40
NFX1,CDC40
EFTUD2,CDC40
LSM7,CDC40
DDX46,CDC40
TAF12,TAF1
POLR2B,TAF1
MNAT1,TAF1
POLR2C,TAF1
GTF2H2C,TAF1
CDK7,TAF1
ENSG00000215719,TAF1
POLR2A,TAF1
POLR2H,TAF1
GTF2F2,TAF1
POLR2F,TAF1
CCNH,TAF1
ING2,TAF1
TAF7,TAF1
POLR2J,TAF1
POLR2I,TAF1
TAF9B,TAF1
TAF4,TAF1
POLR2G,TAF1
GTF2H2,TAF1
GTF2H3,TAF1
TAF6,TAF1
AK6,TAF1
GTF2B,TAF1
ERCC3,TAF1
GTF2H1,TAF1
TAF5,TAF1
POLR2J3,TAF1
TAF12,GTF2H4
POLR2B,GTF2H4
MNAT1,GTF2H4
POLR2C,GTF2H4
GTF2H2C,GTF2H4
CDK7,GTF2H4
POLR2A,GTF2H4
GTF2F2,GTF2H4
CCNH,GTF2H4
POLR2J,GTF2H4
POLR2I,GTF2H4
POLR2G,GTF2H4
GTF2H2,GTF2H4
GTF2H3,GTF2H4
TAF6,GTF2H4
AK6,GTF2H4
GTF2B,GTF2H4
ERCC3,GTF2H4
GTF2H1,GTF2H4
TAF5,GTF2H4
POLR2J3,GTF2H4
TAF1,GTF2H4
TAF12,ENSG00000215476
POLR2B,ENSG00000215476
MNAT1,ENSG00000215476
POLR2C,ENSG00000215476
GTF2H2C,ENSG00000215476
CDK7,ENSG00000215476
POLR2A,ENSG00000215476
GTF2F2,ENSG00000215476
CCNH,ENSG00000215476
POLR2J,ENSG00000215476
POLR2I,ENSG00000215476
POLR2G,ENSG00000215476
GTF2H2,ENSG00000215476
GTF2H3,ENSG00000215476
TAF6,ENSG00000215476
AK6,ENSG00000215476
GTF2B,ENSG00000215476
ERCC3,ENSG00000215476
GTF2H1,ENSG00000215476
TAF5,ENSG00000215476
POLR2J3,ENSG00000215476
TAF1,ENSG00000215476
HNRNPR,CSTF2
POLR2B,CSTF2
POLR2C,CSTF2
SRSF5,CSTF2
SRSF4,CSTF2
HNRNPU,CSTF2
HNRNPF,CSTF2
SNRNP200,CSTF2
SF3A1,CSTF2
HNRNPA1,CSTF2
HNRNPK,CSTF2
NCBP2,CSTF2
SRSF7,CSTF2
POLR2A,CSTF2
POLR2H,CSTF2
HNRNPM,CSTF2
SF3A2,CSTF2
SNRPB2,CSTF2
DDX23,CSTF2
SUPT5H,CSTF2
GTF2F2,CSTF2
POLR2F,CSTF2
HNRNPH1,CSTF2
SNRPD3,CSTF2
PRPF4,CSTF2
POLR2J,CSTF2
POLR2I,CSTF2
PCBP1,CSTF2
SNU13,CSTF2
SRSF11,CSTF2
SF3A3,CSTF2
SNRPF,CSTF2
POLR2G,CSTF2
HNRNPH2,CSTF2
HNRNPA0,CSTF2
TAF6,CSTF2
SNRPD2,CSTF2
RNGTT,CSTF2
SRRM1,CSTF2
CPSF3,CSTF2
PRPF6,CSTF2
SNRNP70,CSTF2
ALYREF,CSTF2
HNRNPL,CSTF2
CPSF1,CSTF2
ENSG00000111987,CSTF2
SNRPA1,CSTF2
HNRNPC,CSTF2
PAPOLA,CSTF2
SF3B1,CSTF2
NFX1,CSTF2
EFTUD2,CSTF2
CDC40,CSTF2
TAF12,POLR2D
HNRNPR,POLR2D
POLR2B,POLR2D
MNAT1,POLR2D
POLR2C,POLR2D
SRSF5,POLR2D
SRSF4,POLR2D
HNRNPU,POLR2D
XAB2,POLR2D
GTF2H2C,POLR2D
HNRNPF,POLR2D
CDK7,POLR2D
