ID	6782	5912	6163	5666	6536	3779	5797	6607	6533	4947	5344	6197	6651	6715	6172	6460	6298	6652	3713	4952	6600	6676	6628
AARS2	328.8933	397.6697	377.4647	360.6673	625.4232	403.4402	581.3063	275.7928	520.7159	595.0930	564.6307	727.6615	641.5412	468.2151	531.9376	615.6986	633.0457	480.4432	792.9774	999.9754	642.7620	436.8412	703.1136
AARSD1	651.2346	600.7984	359.7017	1039.7351	696.0389	619.7550	397.4693	403.8355	573.1874	474.2181	1006.5343	551.1038	465.2916	845.5285	533.3333	452.0334	888.6414	216.7617	484.5139	717.9697	489.6054	611.5880	556.7993
AARS	4415.7848	5036.4271	2282.5515	1849.7198	4439.7498	3339.0670	4761.4440	2790.3540	7326.4934	2385.0380	2346.9363	3839.7383	3703.4865	4306.7258	2906.0659	5090.7195	3474.9443	2989.9079	4016.6395	4754.4003	3141.2813	2786.6953	3092.8690
AASDHPPT	626.9841	967.5649	613.2288	1274.0703	413.6206	709.4084	875.6978	649.7265	932.5125	860.1014	937.9855	548.2420	566.2234	872.4871	551.3576	748.6966	747.2160	794.2080	628.9029	818.6656	704.7094	785.3863	758.7065
AASDH	214.2857	266.9661	229.7085	307.1829	229.6039	167.8395	275.7722	205.2083	83.9033	288.6729	104.0562	220.3598	189.2995	233.1855	284.6909	80.8133	67.9287	192.6283	313.8723	230.0450	123.4620	198.2833	269.4859
AASS	274.6914	314.3713	216.7899	21.9052	83.9472	79.2286	25.3070	142.3894	81.6233	68.0473	128.2209	238.3483	270.5476	85.3659	196.8804	187.6955	110.2450	79.4208	190.7170	102.7425	106.9156	56.6524	250.0000
AATF	1639.7707	1273.9521	2022.1614	2084.0550	1444.3363	1845.7128	1166.3565	1154.6705	2173.7346	1418.0051	2649.2418	1518.3974	1609.0462	2461.9364	1386.0196	1386.8613	1987.7506	2004.8267	1496.3951	1657.7978	1245.6513	2462.6609	2033.5821
AATK	401.6755	12.9741	136.0488	15.7922	39.4719	844.9309	26.7957	27.5206	78.4314	318.8166	537.0485	630.8258	365.7753	31.7812	125.7077	166.3191	31.1804	457.6569	119.2947	29.4720	333.8990	68.2403	30.7048
ABAT	742.5044	2869.2615	819.5224	531.8390	369.7012	455.0430	4612.2069	302.7271	602.8272	643.2798	910.8618	939.0842	676.3690	861.4191	404.8527	2191.3452	632.5167	2136.9022	198.8244	15.5546	338.9902	1923.1760	256.2189
ABCA10	27.3369	1.9960	24.6260	4.5848	11.1188	11.9885	0.7443	4.1879	1.8240	2.5359	10.3563	26.5740	9.6325	1.8477	15.7135	5.7351	3.3408	8.7758	28.1829	12.6893	3.3941	11.5880	3.7313
ABCA11P	62.9056	164.9301	61.4763	124.0958	110.8214	81.1780	52.6572	60.1206	120.2827	81.2722	53.4879	2.8332	108.0138	142.8492	80.8504	167.2941	66.5702	156.6477	64.7087	68.9071	64.2257	132.1116	97.7488
ABCA12	0.4409	0.0000	0.4037	4.0754	9.4510	1.0425	0.0000	9.5724	0.4560	5.9172	0.0000	2.4530	0.8376	4.4346	77.1808	1.5641	1.1136	0.0000	13.5123	19.2386	0.0000	0.8584	9.5357
ABCA13	12.7866	0.9980	23.8186	1.0188	5.0035	338.2851	33.1224	35.2982	12.3119	12.6796	102.0836	8.9943	6.7009	8.4996	16.1756	90.7195	13.9198	3.5103	15.8287	0.8187	18.2435	11.5880	32.7529
ABCA17P	0.0000	0.0000	12.5149	1.0188	7.7832	4.6912	3.3495	1.1965	5.0160	0.4227	0.9863	1.2265	31.8291	0.3695	1.8486	2.6069	14.4766	0.4388	0.3861	0.4093	2.9699	3.0043	1.6584
